Orthgroup 	 orthcount 	 ceriv_count
OG0000145 	 13 	 2
OG0000188 	 20 	 1
OG0000279 	 47 	 0
OG0000320 	 45 	 2
OG0000490 	 23 	 0
OG0000504 	 83 	 5
OG0000572 	 64 	 1
OG0000601 	 27 	 2
OG0000621 	 26 	 0
OG0000639 	 33 	 1
OG0000653 	 43 	 4
OG0000741 	 36 	 0
OG0000776 	 38 	 1
OG0000892 	 6 	 0
OG0001126 	 21 	 0
OG0001138 	 41 	 0
OG0001360 	 3 	 0
OG0001398 	 5 	 0
OG0001449 	 34 	 1
OG0001513 	 17 	 0
OG0001593 	 16 	 0
OG0001651 	 51 	 1
OG0001660 	 11 	 0
OG0001683 	 22 	 0
OG0001782 	 15 	 1
OG0001790 	 8 	 1
OG0001818 	 8 	 1
OG0001837 	 6 	 0
OG0001861 	 10 	 0
OG0001941 	 14 	 0
OG0001947 	 37 	 2
OG0001969 	 14 	 0
OG0002025 	 29 	 3
OG0002026 	 13 	 0
OG0002098 	 62 	 1
OG0002195 	 25 	 0
OG0002197 	 5 	 0
OG0002283 	 37 	 0
OG0002337 	 51 	 6
OG0002459 	 15 	 0
OG0002487 	 12 	 0
OG0002488 	 14 	 0
OG0002573 	 26 	 1
OG0002624 	 14 	 0
OG0002639 	 12 	 0
OG0002680 	 35 	 0
OG0002723 	 9 	 0
OG0002728 	 22 	 0
OG0002783 	 28 	 0
OG0002785 	 15 	 0
OG0002786 	 10 	 0
OG0002796 	 3 	 0
OG0002800 	 4 	 0
OG0002811 	 11 	 0
OG0002854 	 6 	 0
OG0002887 	 3 	 0
OG0002913 	 23 	 0
OG0002930 	 10 	 0
OG0002942 	 20 	 0
OG0003271 	 11 	 0
OG0003322 	 12 	 0
OG0003464 	 24 	 0
OG0003473 	 13 	 0
OG0003551 	 4 	 1
OG0003618 	 11 	 0
OG0003676 	 3 	 0
OG0003743 	 7 	 0
OG0003797 	 4 	 0
OG0003802 	 26 	 1
OG0003836 	 28 	 2
OG0003846 	 11 	 0
OG0004036 	 3 	 0
OG0004156 	 6 	 0
OG0004187 	 9 	 0
OG0004188 	 3 	 0
OG0004236 	 8 	 0
OG0004323 	 6 	 0
OG0004403 	 3 	 0
OG0004546 	 5 	 1
OG0004693 	 17 	 0
OG0004795 	 3 	 0
OG0004929 	 14 	 0
OG0004931 	 3 	 0
OG0004973 	 12 	 0
OG0005147 	 2 	 0
OG0005202 	 8 	 0
OG0005258 	 4 	 0
OG0005261 	 5 	 1
OG0005283 	 8 	 0
OG0005305 	 11 	 0
OG0005324 	 2 	 0
OG0005345 	 6 	 0
OG0005358 	 19 	 0
OG0005544 	 7 	 1
OG0005598 	 15 	 1
OG0005660 	 11 	 0
OG0005938 	 8 	 0
OG0005940 	 2 	 0
OG0006048 	 5 	 0
OG0006118 	 2 	 0
OG0006288 	 10 	 0
OG0006379 	 3 	 0
OG0006418 	 12 	 1
OG0006430 	 19 	 1
OG0006810 	 3 	 1
OG0007066 	 3 	 0
OG0007394 	 7 	 0
OG0007675 	 5 	 0
OG0007729 	 1 	 0
OG0008010 	 5 	 0
OG0008215 	 1 	 0
OG0008298 	 12 	 0
OG0008467 	 8 	 0
OG0008509 	 2 	 0
OG0008519 	 8 	 0
OG0008808 	 3 	 0
OG0009204 	 4 	 1
OG0009810 	 1 	 0
OG0010420 	 3 	 0
OG0010484 	 5 	 0
OG0010606 	 7 	 0
OG0014523 	 1 	 0
OG0017921 	 1 	 0
